* Measurement data measured by REW V5.31.3
* Source: Microphone (Realtek High Definition Audio), no input selected, R, volume: no control
* Format: 64k Log Swept Sine, 4 sweeps at 12.0- dBFS with no timing reference
* Dated: 26/03/2025 09:34:59 ã
* REW Settings:
*  C-weighting compensation: Off
*  Target level: -8.0 dB
* Note: 
* Measurement: L1
* Smoothing: Psychoacoustic
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.680235 41.084 4.3523
1.692411 41.053 4.0763
1.704675 41.020 3.8049
1.717028 40.986 3.5384
1.729470 40.950 3.2773
1.742003 40.912 3.0217
1.754626 40.872 2.7723
1.767341 40.831 2.5294
1.780147 40.787 2.2935
1.793047 40.742 2.0650
1.806040 40.695 1.8445
1.819128 40.647 1.6325
1.832310 40.596 1.4295
1.845587 40.543 1.2363
1.858961 40.488 1.0533
1.872432 40.432 0.8813
1.886001 40.373 0.7209
1.899667 40.313 0.5731
1.913433 40.250 0.4386
1.927299 40.186 0.3184
1.941265 40.119 0.2133
1.955332 40.051 0.1244
1.969501 39.980 0.0527
1.983773 39.908 -0.0004
1.998148 39.834 -0.0338
2.012627 39.758 -0.0462
2.027212 39.680 -0.0362
2.041902 39.600 -0.0022
2.056698 39.519 0.0573
2.071602 39.436 0.1439
2.086614 39.352 0.2596
2.101734 39.266 0.4059
2.116964 39.179 0.5851
2.132304 39.091 0.7989
2.147756 39.002 1.0495
2.163320 38.913 1.3392
2.178996 38.823 1.6700
2.194786 38.733 2.0444
2.210690 38.643 2.4645
2.226710 38.554 2.9329
2.242845 38.466 3.4518
2.259098 38.380 4.0237
2.275468 38.296 4.6506
2.291957 38.214 5.3349
2.308566 38.136 6.0785
2.325295 38.063 6.8833
2.342145 37.995 7.7508
2.359117 37.932 8.6822
2.376212 37.877 9.6784
2.393431 37.829 10.7395
2.410775 37.791 11.8653
2.428244 37.762 13.0549
2.445840 37.745 14.3064
2.463564 37.739 15.6172
2.481416 37.745 16.9840
2.499397 37.765 18.4022
2.517509 37.798 19.8666
2.535752 37.845 21.3708
2.554127 37.907 22.9078
2.572635 37.982 24.4696
2.591277 38.072 26.0478
2.610055 38.175 27.6334
2.628968 38.290 29.2172
2.648019 38.418 30.7899
2.667208 38.557 32.3424
2.686535 38.707 33.8660
2.706003 38.866 35.3523
2.725612 39.033 36.7938
2.745363 39.208 38.1838
2.765257 39.390 39.5165
2.785295 39.577 40.7868
2.805478 39.769 41.9909
2.825808 39.964 43.1257
2.846285 40.163 44.1891
2.866910 40.365 45.1796
2.887685 40.568 46.0967
2.908611 40.772 46.9405
2.929688 40.978 47.7115
2.950917 41.183 48.4108
2.972301 41.388 49.0400
2.993839 41.593 49.6007
3.015534 41.796 50.0952
3.037386 41.999 50.5255
3.059396 42.200 50.8940
3.081565 42.399 51.2032
3.103896 42.596 51.4556
3.126388 42.791 51.6536
3.149043 42.983 51.7998
3.171862 43.173 51.8967
3.194847 43.361 51.9465
3.217998 43.545 51.9518
3.241317 43.727 51.9148
3.264805 43.906 51.8377
3.288463 44.082 51.7227
3.312293 44.255 51.5719
3.336295 44.425 51.3874
3.360471 44.591 51.1709
3.384822 44.755 50.9245
3.409350 44.915 50.6499
3.434056 45.072 50.3488
3.458940 45.226 50.0229
3.484005 45.376 49.6739
3.509252 45.524 49.3031
3.534681 45.668 48.9123
3.560295 45.809 48.5027
3.586094 45.946 48.0758
3.612081 46.080 47.6329
3.638255 46.211 47.1753
3.664620 46.339 46.7044
3.691175 46.464 46.2213
3.717923 46.585 45.7273
3.744864 46.704 45.2235
3.772001 46.819 44.7111
3.799335 46.931 44.1912
3.826866 47.041 43.6649
3.854597 47.147 43.1334
3.882529 47.250 42.5977
3.910664 47.350 42.0588
3.939002 47.448 41.5178
3.967546 47.543 40.9758
3.996296 47.635 40.4338
4.025255 47.724 39.8927
4.054423 47.811 39.3535
4.083804 47.896 38.8173
4.113396 47.978 38.2849
4.143204 48.058 37.7574
4.173227 48.136 37.2357
4.203468 48.212 36.7206
4.233928 48.285 36.2132
4.264609 48.358 35.7142
4.295512 48.428 35.2245
4.326639 48.497 34.7450
4.357992 48.565 34.2764
4.389572 48.632 33.8195
4.421380 48.698 33.3751
4.453419 48.763 32.9436
4.485691 48.828 32.5259
4.518196 48.893 32.1225
4.550936 48.957 31.7337
4.583914 49.022 31.3602
4.617131 49.087 31.0022
4.650589 49.153 30.6599
4.684289 49.220 30.3336
4.718233 49.288 30.0234
4.752424 49.358 29.7291
4.786862 49.429 29.4507
4.821549 49.502 29.1880
4.856488 49.578 28.9404
4.891680 49.656 28.7076
4.927127 49.736 28.4889
4.962831 49.819 28.2835
4.998794 49.906 28.0906
5.035017 49.995 27.9091
5.071503 50.087 27.7380
5.108253 50.183 27.5760
5.145270 50.282 27.4218
5.182555 50.385 27.2738
5.220110 50.490 27.1307
5.257937 50.599 26.9907
5.296038 50.712 26.8523
5.334415 50.827 26.7138
5.373071 50.945 26.5734
5.412006 51.066 26.4295
5.451224 51.190 26.2804
5.490725 51.317 26.1244
5.530514 51.445 25.9599
5.570590 51.576 25.7854
5.610957 51.708 25.5994
5.651616 51.842 25.4005
5.692570 51.978 25.1876
5.733821 52.114 24.9594
5.775370 52.251 24.7150
5.817221 52.389 24.4535
5.859375 52.527 24.1741
5.901834 52.665 23.8764
5.944602 52.803 23.5597
5.987679 52.941 23.2239
6.031068 53.078 22.8687
6.074771 53.215 22.4941
6.118792 53.350 22.1001
6.163131 53.485 21.6870
6.207792 53.619 21.2551
6.252776 53.751 20.8049
6.298086 53.882 20.3367
6.343725 54.011 19.8513
6.389694 54.139 19.3493
6.435996 54.265 18.8314
6.482634 54.389 18.2985
6.529610 54.512 17.7514
6.576926 54.633 17.1911
