* Measurement data measured by REW V5.31.3
* Source: Microphone (Realtek High Definition Audio), no input selected, R, volume: no control
* Format: 64k Log Swept Sine, 4 sweeps at 12.0- dBFS with no timing reference
* Dated: 26/03/2025 09:41:41 ã
* REW Settings:
*  C-weighting compensation: Off
*  Target level: -8.0 dB
* Note: 
* Measurement: R1
* Smoothing: Psychoacoustic
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.518693 37.025 -146.2105
1.529698 37.104 -147.1572
1.540783 37.182 -148.1089
1.551948 37.260 -149.0656
1.563194 37.338 -150.0274
1.574521 37.415 -150.9941
1.585931 37.492 -151.9659
1.597423 37.569 -152.9427
1.608999 37.645 -153.9246
1.620658 37.721 -154.9116
1.632402 37.797 -155.9037
1.644232 37.872 -156.9011
1.656146 37.947 -157.9038
1.668147 38.021 -158.9118
1.680235 38.095 -159.9253
1.692411 38.169 -160.9444
1.704675 38.242 -161.9693
1.717028 38.315 -163.0001
1.729470 38.387 -164.0368
1.742003 38.459 -165.0798
1.754626 38.530 -166.1291
1.767341 38.600 -167.1850
1.780147 38.670 -168.2475
1.793047 38.740 -169.3169
1.806040 38.809 -170.3933
1.819128 38.877 -171.4767
1.832310 38.945 -172.5674
1.845587 39.012 -173.6654
1.858961 39.078 -174.7708
1.872432 39.144 -175.8836
1.886001 39.209 -177.0038
1.899667 39.273 -178.1315
1.913433 39.337 -179.2666
1.927299 39.399 179.5909
1.941265 39.461 178.4410
1.955332 39.523 177.2839
1.969501 39.583 176.1196
1.983773 39.643 174.9481
1.998148 39.702 173.7696
2.012627 39.760 172.5841
2.027212 39.817 171.3917
2.041902 39.873 170.1924
2.056698 39.929 168.9864
2.071602 39.983 167.7735
2.086614 40.037 166.5540
2.101734 40.089 165.3276
2.116964 40.141 164.0945
2.132304 40.192 162.8546
2.147756 40.241 161.6079
2.163320 40.290 160.3544
2.178996 40.337 159.0939
2.194786 40.384 157.8264
2.210690 40.429 156.5520
2.226710 40.473 155.2705
2.242845 40.516 153.9819
2.259098 40.558 152.6862
2.275468 40.598 151.3833
2.291957 40.638 150.0733
2.308566 40.676 148.7561
2.325295 40.713 147.4318
2.342145 40.749 146.1004
2.359117 40.783 144.7619
2.376212 40.816 143.4163
2.393431 40.848 142.0636
2.410775 40.878 140.7039
2.428244 40.907 139.3372
2.445840 40.935 137.9636
2.463564 40.961 136.5829
2.481416 40.985 135.1954
2.499397 41.008 133.8008
2.517509 41.030 132.3993
2.535752 41.050 130.9908
2.554127 41.068 129.5754
2.572635 41.085 128.1530
2.591277 41.100 126.7236
2.610055 41.114 125.2872
2.628968 41.126 123.8439
2.648019 41.136 122.3937
2.667208 41.145 120.9367
2.686535 41.151 119.4728
2.706003 41.156 118.0022
2.725612 41.159 116.5250
2.745363 41.160 115.0412
2.765257 41.159 113.5510
2.785295 41.157 112.0546
2.805478 41.152 110.5519
2.825808 41.145 109.0433
2.846285 41.137 107.5290
2.866910 41.126 106.0089
2.887685 41.113 104.4834
2.908611 41.098 102.9526
2.929688 41.081 101.4169
2.950917 41.061 99.8763
2.972301 41.040 98.3312
2.993839 41.016 96.7818
3.015534 40.989 95.2285
3.037386 40.961 93.6714
3.059396 40.930 92.1112
3.081565 40.896 90.5480
3.103896 40.860 88.9823
3.126388 40.821 87.4147
3.149043 40.780 85.8455
3.171862 40.736 84.2753
3.194847 40.689 82.7048
3.217998 40.640 81.1345
3.241317 40.588 79.5650
3.264805 40.533 77.9972
3.288463 40.475 76.4318
3.312293 40.414 74.8696
3.336295 40.350 73.3115
3.360471 40.283 71.7585
3.384822 40.213 70.2115
3.409350 40.139 68.6718
3.434056 40.063 67.1406
3.458940 39.983 65.6190
3.484005 39.899 64.1086
3.509252 39.813 62.6108
3.534681 39.722 61.1274
3.560295 39.629 59.6599
3.586094 39.531 58.2105
3.612081 39.431 56.7811
3.638255 39.326 55.3740
3.664620 39.218 53.9915
3.691175 39.106 52.6363
3.717923 38.991 51.3112
3.744864 38.872 50.0191
3.772001 38.750 48.7634
3.799335 38.624 47.5477
3.826866 38.495 46.3756
3.854597 38.362 45.2514
3.882529 38.227 44.1794
3.910664 38.089 43.1645
3.939002 37.949 42.2117
3.967546 37.807 41.3265
3.996296 37.664 40.5149
4.025255 37.520 39.7829
4.054423 37.377 39.1372
4.083804 37.234 38.5847
4.113396 37.095 38.1323
4.143204 36.959 37.7875
4.173227 36.829 37.5576
4.203468 36.706 37.4497
4.233928 36.593 37.4706
4.264609 36.492 37.6266
4.295512 36.405 37.9229
4.326639 36.335 38.3630
4.357992 36.284 38.9489
4.389572 36.254 39.6800
4.421380 36.248 40.5527
4.453419 36.267 41.5602
4.485691 36.311 42.6917
4.518196 36.382 43.9326
4.550936 36.479 45.2646
4.583914 36.600 46.6660
4.617131 36.745 48.1124
4.650589 36.911 49.5777
4.684289 37.096 51.0354
4.718233 37.297 52.4598
4.752424 37.513 53.8270
4.786862 37.741 55.1158
4.821549 37.978 56.3088
4.856488 38.222 57.3921
4.891680 38.472 58.3558
4.927127 38.726 59.1938
4.962831 38.982 59.9032
4.998794 39.239 60.4838
5.035017 39.497 60.9379
5.071503 39.754 61.2695
5.108253 40.009 61.4840
5.145270 40.262 61.5876
5.182555 40.513 61.5872
5.220110 40.761 61.4900
5.257937 41.006 61.3032
5.296038 41.248 61.0341
5.334415 41.486 60.6895
5.373071 41.720 60.2763
5.412006 41.950 59.8009
5.451224 42.176 59.2693
5.490725 42.398 58.6873
5.530514 42.616 58.0603
5.570590 42.830 57.3932
5.610957 43.041 56.6908
5.651616 43.247 55.9573
5.692570 43.449 55.1968
5.733821 43.647 54.4130
5.775370 43.842 53.6094
5.817221 44.033 52.7892
5.859375 44.220 51.9554
5.901834 44.403 51.1108
5.944602 44.584 50.2579
5.987679 44.760 49.3991
6.031068 44.934 48.5366
6.074771 45.104 47.6724
6.118792 45.271 46.8084
6.163131 45.435 45.9464
6.207792 45.597 45.0880
6.252776 45.756 44.2346
6.298086 45.912 43.3877
6.343725 46.066 42.5485
6.389694 46.217 41.7181
6.435996 46.367 40.8975
6.482634 46.514 40.0877
6.529610 46.660 39.2896
6.576926 46.804 38.5038
6.624585 46.946 37.7309
6.672590 47.087 36.9716
6.720942 47.226 36.2261
6.769645 47.365 35.4949
6.818700 47.502 34.7783
6.868111 47.639 34.0762
6.917881 47.775 33.3888
6.968010 47.910 32.7161
7.018504 48.045 32.0577
7.069362 48.179 31.4135
7.120590 48.313 30.7832
7.172189 48.447 30.1662
7.224161 48.580 29.5620
7.276511 48.713 28.9701
7.329239 48.846 28.3895
7.382350 48.979 27.8197
7.435845 49.112 27.2596
7.489729 49.245 26.7085
7.544002 49.377 26.1652
7.598669 49.510 25.6288
7.653732 49.642 25.0981
7.709194 49.773 24.5721
7.765058 49.904 24.0497
7.821327 50.035 23.5298
7.878004 50.165 23.0114
7.935091 50.294 22.4932
7.992592 50.422 21.9744
8.050510 50.549 21.4540
8.108847 50.675 20.9313
8.167607 50.799 20.4052
8.226793 50.922 19.8752
8.286408 51.044 19.3407
8.346454 51.163 18.8012
8.406936 51.280 18.2565
8.467856 51.396 17.7061
8.529218 51.509 17.1502
8.591024 51.620 16.5888
8.653278 51.728 16.0221
8.715983 51.834 15.4503
8.779143 51.937 14.8741
8.842760 52.037 14.2942
8.906839 52.135 13.7111
8.971381 52.230 13.1257
9.036392 52.323 12.5392
9.101873 52.412 11.9525
9.167829 52.500 11.3668
9.234263 52.584 10.7834
9.301178 52.667 10.2037
9.368578 52.747 9.6289
9.436467 52.825 9.0604
9.504847 52.902 8.4996
9.573723 52.976 7.9478
9.643099 53.050 7.4063
9.712976 53.123 6.8763
9.783361 53.194 6.3590
9.854255 53.266 5.8553
9.925663 53.338 5.3661
9.997588 53.410 4.8921
10.070035 53.483 4.4336
10.143007 53.557 3.9910
10.216507 53.633 3.5643
10.290540 53.710 3.1534
10.365109 53.790 2.7576
10.440219 53.872 2.3763
10.515873 53.957 2.0085
10.592076 54.044 1.6532
10.668830 54.135 1.3087
10.746141 54.229 0.9735
10.824012 54.326 0.6459
10.902447 54.426 0.3240
10.981451 54.529 0.0059
11.061027 54.636 -0.3104
11.141180 54.745 -0.6268
11.221913 54.857 -0.9452
11.303232 54.971 -1.2672
11.385140 55.087 -1.5946
11.467641 55.205 -1.9286
11.550741 55.325 -2.2706
11.634442 55.447 -2.6213
11.718750 55.569 -2.9814
11.803669 55.693 -3.3515
11.889203 55.817 -3.7316
11.975357 55.942 -4.1217
12.062136 56.067 -4.5216
12.149543 56.193 -4.9307
12.237583 56.318 -5.3483
12.326262 56.444 -5.7737
12.415583 56.571 -6.2062
12.505552 56.697 -6.6447
12.596172 56.823 -7.0884
12.687449 56.950 -7.5364
12.779387 57.077 -7.9879
12.871992 57.204 -8.4422
12.965268 57.331 -8.8987
13.059220 57.458 -9.3568
13.153852 57.586 -9.8164
13.249170 57.714 -10.2772
13.345179 57.842 -10.7394
13.441884 57.970 -11.2030
13.539289 58.098 -11.6684
13.637401 58.226 -12.1360
13.736223 58.354 -12.6062
13.835761 58.481 -13.0797
13.936021 58.609 -13.5571
14.037007 58.735 -14.0390
14.138725 58.861 -14.5259
14.241180 58.985 -15.0182
14.344377 59.109 -15.5165
14.448323 59.231 -16.0210
14.553021 59.352 -16.5319
14.658478 59.471 -17.0491
14.764700 59.588 -17.5726
14.871691 59.704 -18.1021
14.979457 59.818 -18.6370
15.088005 59.930 -19.1771
15.197339 60.040 -19.7217
15.307465 60.148 -20.2701
15.418389 60.255 -20.8215
15.530117 60.359 -21.3754
15.642655 60.463 -21.9308
15.756008 60.565 -22.4872
15.870182 60.665 -23.0439
15.985184 60.765 -23.6006
16.101019 60.864 -24.1566
16.217694 60.962 -24.7118
16.335214 61.060 -25.2660
16.453586 61.157 -25.8192
16.572815 61.254 -26.3716
16.692909 61.351 -26.9232
16.813872 61.449 -27.4747
16.935713 61.546 -28.0264
17.058436 61.644 -28.5789
17.182048 61.743 -29.1328
